Our_Slug,SKU,Product_Name
13-dawgs-feminized,RKPAE2736867-05-03,"13 Dawgs Feminized"
41-cherries-feminized,RKZ8J2823308-09,"41 Cherries Feminized"
5-alive-feminized,RK6GP2744324-05-19,"5 Alive Feminized"
8-ball-kush-feminized,RK9R52738051-05-05,"8 Ball Kush Feminized"
98-aloha-white-widow-feminized,RKD332737277-05-05,"98 Aloha White Widow Feminized"
aberdeen-feminized,RKJTN2737460-05-03,"Aberdeen Feminized"
adios-feminized,RKK542823380-05,"Adios Feminized"
afcrack-feminized,RK18N2737007-05-03,"Afcrack Feminized"
afghan-feminized,RK8YK22070,"Afghan Feminized"
afghan-hawaiian-feminized,RKP3J16305-05-05,"Afghan Hawaiian Feminized"
afghani-bullrider-feminized,RK5EW2732222,"Afghani Bullrider Feminized"
afpak-feminized,RK4352737668-05-25,"Afpak Feminized"
agent-tangie-feminized,RKSXV2736486-05-03,"Agent Tangie Feminized"
alchemy-feminized,RKZDO2737543-05-25,"Alchemy Feminized"
alien-bubba-feminized,RKJLF25983,"Alien Bubba Feminized"
alien-gorilla-glue-feminized,RK8CD2744425-05-05,"Alien Gorilla Glue Feminized"
alien-mints-feminized,RKM562823537-09,"Alien Mints Feminized"
alien-reunion-feminized,RK5UI2736580-05-25,"Alien Reunion Feminized"
alien-rift-feminized,RKR7J26191,"Alien Rift Feminized"
alpine-blue-feminized,RKX9S2737571-05-25,"Alpine Blue Feminized"
amazonian-feminized,RKVU32823552-09,"Amazonian Feminized"
american-strain-mixpack-feminized,RK6R227715-03,"American Strain Mixpack Feminized"
amethyst-feminized,RKUB32737115-05-19,"Amethyst Feminized"
amsterdam-feminized,RK9QG2823568-05,"Amsterdam Feminized"
ancient-og-feminized,RK47H2737858-05-23,"Ancient OG Feminized"
angel-og-feminized,RKUB42736637-05,"Angel OG Feminized"
ape-shit-feminized,RK5QK2737304-05-07,"Ape Shit Feminized"
apple-betty-feminized,RKXH42758900-05-01,"Apple Betty Feminized"
apple-crisp-feminized,RK5632823587-05,"Apple Crisp Feminized"
apple-fritter-feminized,RKKHK2823841-05,"Apple Fritter Feminized"
apple-mintz-feminized,RKPVX2823855-05,"Apple Mintz Feminized"
apple-pie-feminized,RKY742823870-05,"Apple Pie Feminized"
apple-runtz-feminized,RK5FU2824037-05,"Apple Runtz Feminized"
apple-tarts-feminized,RKYUD2824052-05,"Apple Tarts Feminized"
apples-and-bananas-feminized,RKJ2J2824068-05,"Apples and Bananas Feminized"
arctic-sun-feminized,RK4T52737396-05-01,"Arctic Sun Feminized"
area-51-feminized,RK7OU2824144-05,"Area 51 Feminized"
aspen-og-feminized,RK2ZD2737013-05-01,"Aspen OG Feminized"
avalon-feminized,RK7622737264-05-05,"Avalon Feminized"
b-52-feminized,RKHLL2733784,"B-52 Feminized"
badazz-cheese-feminized,RKB7N2744016-05-25,"Badazz Cheese Feminized"
badazz-rolex-feminized,RKUJR2744056-05-19,"Badazz Rolex Feminized"
baked-alaska-feminized,RKZXZ2824158-05,"Baked Alaska Feminized"
baked-apple-feminized,RKJ4T2744002-05-19,"Baked Apple Feminized"
banana-cooler-feminized,RK6DH2824172-05,"Banana Cooler Feminized"
banana-cream-og-feminized,RK9QK2738190-05-19,"Banana Cream OG Feminized"
banana-daddy-feminized,RKIJY2824187-05,"Banana Daddy Feminized"
bandana-feminized,RK9U42736848-05-01,"Bandana Feminized"
bear-dance-feminized,RKIJH2736981,"Bear Dance Feminized"
bianca-feminized,RKJ552737589-04-01,"Bianca Feminized"
biddy-early-feminized,RKJNH2736809-05-25,"Biddy Early Feminized"
big-band-feminized,RKBWY2738184-05-19,"Big Band Feminized"
big-bang-feminized,RK62G2737846-05-05,"Big Bang Feminized"
big-blue-feminized,RKORS2744596,"Big Blue Feminized"
big-buddha-cheese-feminized,RKY9I2730109,"Big Buddha Cheese Feminized"
big-cheese-feminized,RKJG32744418,"Big Cheese Feminized"
big-devil-feminized,RK6LJ2729631,"Big Devil Feminized"
big-kush-feminized,RK3972737139-05-01,"Big Kush Feminized"
big-smooth-feminized,RK3532737091-05-05,"Big Smooth Feminized"
big-sticky-feminized,RKZYB2744037-05-03,"Big Sticky Feminized"
biker-le-blanc-feminized,RKURC2737383-05-01,"Biker Le Blanc Feminized"
black-bubba-feminized,RK3PK2734118,"Black Bubba Feminized"
black-cherry-punch-feminized,RK3OW2824756-05,"Black Cherry Punch Feminized"
black-demon-og-feminized,RKKVR2744023-05-23,"Black Demon OG Feminized"
black-jack-feminized,RKZ7E2744404,"Black Jack Feminized"
black-rose-feminized,RKXVT2824985-05,"Black Rose Feminized"
black-russian-feminized,RKCU22737864-05-23,"Black Russian Feminized"
black-water-purple-og-cheese-feminized,RKO9C2744824-05-13,"Black Water Purple OG Cheese Feminized"
blackberry-hashplant-feminized,RK8272736607-05-13,"Blackberry Hashplant Feminized"
blob-og-feminized,RK25C2736574-05-01,"Blob OG Feminized"
blue-alien-feminized,RKAQC2737975-05-23,"Blue Alien Feminized"
blue-biscotti-feminized,RKXUC2824517-05,"Blue Biscotti Feminized"
blue-cinex-feminized,RKXPH2738110-05-07,"Blue Cinex Feminized"
blue-cookies-auto,RK28224148,"Blue Cookies Auto"
blue-dynamite-feminized,RKS632733510,"Blue Dynamite Feminized"
blue-fruit-feminized,RKPDQ2744295,"Blue Fruit Feminized"
blue-galaxy-feminized,RK8472737332-05-25,"Blue Galaxy Feminized"
blue-jack-city-feminized,RKU562744668,"Blue Jack City Feminized"
blue-jay-way-feminized,RK2HN2737512-05-13,"Blue Jay Way Feminized"
blue-kiss-feminized,RKAF92737297-05-05,"Blue Kiss Feminized"
blue-kush-feminized,RK6RW2730080,"Blue Kush Feminized"
blue-lyly-feminized,RK26J2766938-05-13,"Blue Lyly Feminized"
blue-mango-feminized,RKHFV2729643,"Blue Mango Feminized"
blue-persuasion-feminized,RKQC92736568-05-13,"Blue Persuasion Feminized"
blue-power-feminized,RK1D72738045-05-19,"Blue Power Feminized"
blue-princess-feminized,RKJNL2744199-05-01,"Blue Princess Feminized"
blue-zushi-feminized,RKZNG2851633-05,"Blue Zushi Feminized"
